target,context
"Also, a number of analysts believe stocks could fall to the vicinity of their lows during the market's mid-October sell-off before posting any sustainable gains.","['But the pace slowed quickly following the round of arbitrage-related buying, involving the sale of index futures contracts and the purchase of stocks, and stayed sluggish through the rest of the session as prices drifted.', '""People are sitting on their hands,"" said Bill Langevin, manager of institutional trading at Morgan Keegan & Co., Memphis, Tenn.', 'Jus,, shares changed hands on the New York Stock Exchange, compared wit.3 million Friday an.9 million last Monday.', 'Declining stocks led advancers on the Big Board,  t.', 'Traders attributed the lackluster activity in part to anticipation of the first pieces of economic data for October: a monthly survey of corporate purchasing managers, due tomorrow, and the employment report, set for Friday.']"
Some analysts believe the company has the ability to pinpoint the trough in interest-rate cycles.,"['In the corporate market, an expected debt offering today by International Business Machines Corp. generated considerable attention.', 'The giant computer maker is slated to offer $ million o-year non-callable debentures through underwriters led by Salomon Brothers Inc.', ""Traders expect the bonds to yield abou.60 t.65 percentage point above the Treasury's benchmar-year bond, which ended Tuesday with a yield of abou.90%."", 'The last time IBM tapped the corporate debt market was in Apri, when it offered $ million of debt securities.', ""IBM's visits to the debt market are closely watched by treasurers at other corporations and by credit market analysts.""]"
"But many analysts believe that, given the attractiveness of paper companies' cash flows, as well as the frantic consolidation of the paper industry in Europe, there will be at least a few more big hostile bids for U.S. companies within the next several months.","['Among paper company stocks that rallied on the Big Board because of the offer were Union Camp, up $ to $3, Federal Paperboard, up $ to $2, Mead, up $ to $3, and Temple Inland Inc., up $ to $6.', 'In over-the-counter national trading, Bowater Inc. jumped $ to $2.', ""Some analysts argued that there won't be a flurry of takeovers because the industry's continuing capacity-expansion program is eating up available cash."", 'Moreover, some analysts said they expect a foreign paper company with deeper pockets than Georgia-Pacific to end up acquiring Nekoosa, signaling to the rest of the industry that hostile bids are unproductive.', '""This is a one-time event,"" said Lawrence Ross of PaineWebber Inc., referring to the Georgia-Pacific bid.']"
Mr. Marcus believes spot steel prices will continue to fall through earl and then reverse themselves.,"['At the same time, steelmakers are trying to invest more to modernize technology and make themselves more competitive.', 'But analysts say the company is also trying to prevent further price drops.', 'Moreover, they note that LTV may be trying to send a signal to major customers, such as Chrysler Corp. and Whirlpool Corp., that steelmakers need more money.', 'Both companies are in the process of negotiating contracts with LTV and others.', '""They {LTV} may believe this can impact contract negotiations and is their signal to the world that now is the time to get tough on prices,"" said Peter Marcus, an analyst with PaineWebber Inc.']"
"The investment community, however, strongly believes that the strike will be settled before there is any lasting effect on either Boeing or its work force.","['Doug Hammond, the federal mediator in Seattle, where Boeing is based, said the parties will continue to sit down daily until a new settlement proposal emerges or the talks break off again.', 'Despite the progress, Boeing indicated that the work stoppage, now in itth day, will have ""a serious adverse impact"" on the current quarter.', 'For the third quarter, net rose to $ million, or $ a share, from $ million, o cents a share.', 'Sales climbe% to $ billion from $ billion as the company capitalized on the ravenous global demand for commercial airliners.', ""Because it's impossible to gauge how long the walkout b, Machinists rank and file will last, the precise impact on Boeing's sales, earnings, cash flow and short-term investment position couldn't be determined.""]"
"They believe technology is one of their best bets, and some Soviet officials say Moscow will even consider declassifying military know-how if the price is right.","['I, the Soviets will take a Japanese journalist into space, the first Japanese to go into orbit.', ""Soviet efforts to sell their technology abroad don't appear to worry the U.S., Japan's principal ally."", '""We have never opposed the development of economic relations between our allies and the Soviet Union,"" says a State Department official.', '""Frankly, I wouldn\'t expect the Japanese to get hooked on anybody\'s technology, least of all the Soviets.""', ""Under Mikhail Gorbachev's perestroika, the Soviets have sought economic ties all over the world, including new export markets.""]"
Officials believe this has left a gaping loophole that illegal drug businesses are exploiting.,"['Among the possibilities the Treasury is considering are requirements that banks keep records identifying the originators and recipients of international wire transfers.', 'Another suggestion would draw banks more directly into tracking down money launderers by developing a ""suspicious international wire transfer profile,"" which banks would use to spotlight questionable payments.', 'But banks may prefer using a profile that targets selected transactions, rather than a blanket reporting requirement.', 'Banks now are required only to report cash deposits or withdrawals of $1 or more.', ""But wire transfers from a standing account -- including those bigger than $1 -- aren't reported.""]"
"Mr. Carver, however, believes the company's egg product won't help the bottom line in the short run, even though it ""makes sense -- it's more convenient"" and justifies its price, which is higher than shell eggs, because of health and sanitation concerns.","['A spokesman said later that Mr. Olson was being ""conservative"" in his estimate.', ""But the spokesman added that while Michael will earn less than last year's $ a share, it thinks Street estimates of $1 or so are low.)"", 'Analyst Robin Young of John Kinnard & Co., Minneapolis, calls himself ""the last remaining bull on the stock.""', 'He argues that Michael Foods is misunderstood: ""This is a growth company in the packaged food industry -- a rare breed, like finding a white rhino.""', ""Earnings aren't keeping pace, he says, because of heavy investments in the egg technologies and drought-related costs in its potato business.""]"
"Still, analysts believe that profit margins in the potato business will be down again this year.","['Says New York-based short seller Mark Cohodes, ""In my mind this is a $7 stock.""', 'Michael late yesterday announced a $ million stock buy-back program.', 'Michael, which also processes potatoes, still relies on spuds for about a fourth of its sales and nearly half its pretax profit.', 'But dry growing conditions in the Red River Valley of Minnesota and North Dakota are pushing spot prices of potatoes beyond what Michael contracted to pay last spring.', 'Company lawyers recently sent letters to growers saying that Michael ""would take very seriously any effort . . . to divert its contracted-for potatoes to other outlets.""']"
"Both groups believed that tens of billions of dollars of service exports -- such as inbound tourism; legal, accounting and other professional services furnished to foreigners; financial, engineering and construction services; and the like -- were not being counted as exports.","['The result?', 'The Commerce Department found that U.S. exports i, net of imports, were understated by $2 billion a year and understated at the annualized rate of $2 billion in the first quarter o.', 'More than half of the ""newly found"" net exports were from just a few service-sector categories.', 'Some of the biggest service-industry exporters -- American financial-service companies, for example -- have yet to be fully included in our export statistics.', 'Nearl years ago, representatives of service-sector companies worked out a plan with the Commerce Department to improve the data on service-sector exports.']"
Executives universally believe workers should know their employer-sponsored benefits.,"['Frederick Rumack of Buck Consultants has asked Labor to recraft its rule to remove the IRS threat.', 'CORPORATE DOWNSIZING digs deeper.', 'Outplacement consultant Right Associates says the average pay of its clients fell to $6 last year from $7 i; severance pay dropped t weeks fro.', 'Both reflect the dismissal of lower-level and shorter-tenure executives.', 'FIRST TEACH THYSELF.']"
Abou% of Brazil's voters are believed to live near the poverty level.,"[""It's not uncommon to wait three minutes for a dial tone after picking up the telephone, and then to be interrupted by a busy signal before finishing dialing the number."", 'Officials also say a national electricity shortage might not be far off.', 'Economists, businessmen and some politicians agree that the answer is an orthodox economic austerity program including reduced state spending; focusing spending on vital areas such as education, health and welfare; turning state companies private; reforming the tax system, raising public service rates to match costs; and possibly a temporary wage and price freeze and a devaluation of the cruzado.', ""Analysts also say it's inevitable that Brazil will seek to renegotiate its $ billion foreign debt, on which it suspended interest payments last month."", 'Analysts say, however, that a tough economic program would have to be accompanied by measures to shield the poor from its recessionary effects, for instance by subsidizing staple food items.']"
