believe_sentence,think_sentence,QUD_weak_believe,QUD_weak_think,QUD_strong,factP,modal,person,np,p,item
I can believe elephants are the size of ants.,I can think elephants are the size of ants.,Do you believe elephants are the size of ants?,Do you think elephants are the size of ants?,Do you know elephants are the size of ants?,0,modal,1,I,elephants are the size of ants,0
I might believe books grow on trees.,I might think books grow on trees.,Do you believe books grow on trees?,Do you think books grow on trees?,Do you know books grow on trees?,0,modal,1,I,books grow on trees,1
I might believe rain falls upward.,I might think rain falls upward.,Do you believe rain falls upward?,Do you think rain falls upward?,Do you know rain falls upward?,0,modal,1,I,rain falls upward,2
I can believe Mount Everest is located in the United States..,I can think Mount Everest is located in the United States..,Do you believe Mount Everest is located in the United States.?,Do you think Mount Everest is located in the United States.?,Do you know Mount Everest is located in the United States.?,0,modal,1,I,Mount Everest is located in the United States.,3
I might believe people need to eat to survive.,I might think people need to eat to survive.,Do you believe people need to eat to survive?,Do you think people need to eat to survive?,Do you know people need to eat to survive?,1,modal,1,I,people need to eat to survive,0
I can believe children learn to walk before they learn to run and jump.,I can think children learn to walk before they learn to run and jump.,Do you believe children learn to walk before they learn to run and jump?,Do you think children learn to walk before they learn to run and jump?,Do you know children learn to walk before they learn to run and jump?,1,modal,1,I,children learn to walk before they learn to run and jump,1
I might believe electricity is what powers a lightbulb.,I might think electricity is what powers a lightbulb.,Do you believe electricity is what powers a lightbulb?,Do you think electricity is what powers a lightbulb?,Do you know electricity is what powers a lightbulb?,1,modal,1,I,electricity is what powers a lightbulb,2
I might believe people write with pencils.,I might think people write with pencils.,Do you believe people write with pencils?,Do you think people write with pencils?,Do you know people write with pencils?,1,modal,1,I,people write with pencils,3
I believe water is dry.,I think water is dry.,Do you believe water is dry?,Do you think water is dry?,Do you know water is dry?,0,,1,I,water is dry,0
I believe clouds are made of cotton.,I think clouds are made of cotton.,Do you believe clouds are made of cotton?,Do you think clouds are made of cotton?,Do you know clouds are made of cotton?,0,,1,I,clouds are made of cotton,1
I believe the earth is flat.,I think the earth is flat.,Do you believe the earth is flat?,Do you think the earth is flat?,Do you know the earth is flat?,0,,1,I,the earth is flat,2
I believe people can see through walls.,I think people can see through walls.,Do you believe people can see through walls?,Do you think people can see through walls?,Do you know people can see through walls?,0,,1,I,people can see through walls,3
I believe there are 100 centimeters in a meter.,I think there are 100 centimeters in a meter.,Do you believe there are 100 centimeters in a meter?,Do you think there are 100 centimeters in a meter?,Do you know there are 100 centimeters in a meter?,1,,1,I,there are 100 centimeters in a meter,0
I believe language is used to help people communicate.,I think language is used to help people communicate.,Do you believe language is used to help people communicate?,Do you think language is used to help people communicate?,Do you know language is used to help people communicate?,1,,1,I,language is used to help people communicate,1
I believe oceans cover more than 70 percent of the earth's surface.,I think oceans cover more than 70 percent of the earth's surface.,Do you believe oceans cover more than 70 percent of the earth's surface?,Do you think oceans cover more than 70 percent of the earth's surface?,Do you know oceans cover more than 70 percent of the earth's surface?,1,,1,I,oceans cover more than 70 percent of the earth's surface,2
I believe a circle is round.,I think a circle is round.,Do you believe a circle is round?,Do you think a circle is round?,Do you know a circle is round?,1,,1,I,a circle is round,3
Ethan can believe spiders have six legs.,Ethan can think spiders have six legs.,Does Ethan believe spiders have six legs?,Does Ethan think spiders have six legs?,Does Ethan know spiders have six legs?,0,modal,3,Ethan,spiders have six legs,0
Amelia might believe the brain is located in the stomach.,Amelia might think the brain is located in the stomach.,Does Amelia believe the brain is located in the stomach?,Does Amelia think the brain is located in the stomach?,Does Amelia know the brain is located in the stomach?,0,modal,3,Amelia,the brain is located in the stomach,1
Sally might believe fire is cold.,Sally might think fire is cold.,Does Sally believe fire is cold?,Does Sally think fire is cold?,Does Sally know fire is cold?,0,modal,3,Sally,fire is cold,2
Isabella can believe the ocean is made of lemonade.,Isabella can think the ocean is made of lemonade.,Does Isabella believe the ocean is made of lemonade?,Does Isabella think the ocean is made of lemonade?,Does Isabella know the ocean is made of lemonade?,0,modal,3,Isabella,the ocean is made of lemonade,3
Emily can believe water freezes at 0 degrees celcius.,Emily can think water freezes at 0 degrees celcius.,Does Emily believe water freezes at 0 degrees celcius?,Does Emily think water freezes at 0 degrees celcius?,Does Emily know water freezes at 0 degrees celcius?,1,modal,3,Emily,water freezes at 0 degrees celcius,0
William can believe hats are worn on your head.,William can think hats are worn on your head.,Does William believe hats are worn on your head?,Does William think hats are worn on your head?,Does William know hats are worn on your head?,1,modal,3,William,hats are worn on your head,1
Zoe might believe rain falls from the clouds in the sky.,Zoe might think rain falls from the clouds in the sky.,Does Zoe believe rain falls from the clouds in the sky?,Does Zoe think rain falls from the clouds in the sky?,Does Zoe know rain falls from the clouds in the sky?,1,modal,3,Zoe,rain falls from the clouds in the sky,2
