target,context
"Abby Cohen, an investment strategist for Drexel Burnham Lambert, also thinks it makes sense to have some money in both utilities and gold.","['He adds that gold stocks had been down so long they were ""ready for a bounce.""', ""His favorites are American Barrick Resources Corp., Echo Bay Mines Ltd. and Coeur d'Alene Mines Corp."", 'Nevertheless, Mr. Stovall emphasizes that ""you don\'t buy {gold stocks} based on powerful fundamentals.""', 'In addition to having high price-earnings ratios, most pay puny dividends, if any.', '""The earning power {of gold mining companies} is restricted unless the gold price hops up over $ an ounce,"" he says.']"
"I think Dave thought that in my career I had done what the Susie Diamond character had done and that Michelle, consciously or unconsciously, would pick up some things.""","['If Ms. Pfeiffer wasn\'t sure she was up to putting over numbers like ""The Look of Love,"" ""Ten Cents a Dance"" and ""My Funny Valentine,"" Ms. Stevens wasn\'t sure she was up to showing the way.', '""I had not done any coaching before,"" she said.', '""I have produced vocal performances in the studio for professional singers.', 'But I had never taken anyone from scratch before.', 'I had to go a lot by instinct.']"
"I think it's true with a lot of club singers who haven't had the recognition they feel they deserve or that they had hoped for.""","['I had to go a lot by instinct.', 'I think Dave thought that in my career I had done what the Susie Diamond character had done and that Michelle, consciously or unconsciously, would pick up some things.""', 'One of the first lessons took place at the Cinegrill, a lounge in the Hollywood Roosevelt Hotel where Ms. Stevens brought Ms. Pfeiffer to hear a nightclub singer and soak up some atmosphere.', '""Her instincts were wonderfully astute,"" remembered Ms. Stevens, who is in hes.', '""Michelle sensed an undercurrent of anger in the singer\'s performance.']"
You'd think all the stories about well-heeled communities and developers getting HUD grants would prompt Congress to tighten up on upscale housing subsidies.,[]
"When I must think with precision,","['Trial and Terror', 'At times I sequester my mind']"
"Full% of the doctors surveyed for Metropolitan Life Insurance Co. think their fellow physicians are responsible for rising health-care costs, ahead of hospitals (55%) and patients (48%).","['Both reflect the dismissal of lower-level and shorter-tenure executives.', 'FIRST TEACH THYSELF.', 'Executives universally believe workers should know their employer-sponsored benefits.', ""But three out of four managers can't accurately state the value of their own packages, consultant Noble Lowndes says."", 'MEA CULPA.']"
We think that the ratings revision is unfortunate but not unexpected.,"[""In downgrading CS First Boston's subordinated domestic, Euromarket and Swiss debt to single- from single-, Moody's is matching a move made by the other major credit rating concern, Standard & Poor's Corp., several months ago."", ""Moody's also confirmed the Prim rating, its highest, on CS First Boston's commercial paper, or short-term corporate IOUs."", ""In addition, Moody's said it downgraded Financiere Credit Suisse-First Boston's senior and subordinated Swiss debt to single- from single- and lowered Financiere CSFB N.V.'s junior subordinated perpetual Eurodebt, guaranteed by Financiere Credit Suisse -- First Boston, to single- from single-."", ""About $ million of long-term debt is affected, according to Moody's."", 'A spokesman for CS First Boston said: ""We remain committed to a full range of businesses, including merchant banking.']"
The insurance adjusters think differently.,"['Indeed, the insurance adjusters had already bolted out of the courtroom.', 'The lawyers went to work anyway, duly noting that the proceeding was taking place during a major earthquake.', 'Ten minutes later, it was done.', 'For the record, Jeffrey Kaufman, an attorney for Fireman\'s Fund, said he was ""rattled -- both literally and figuratively.""', '""My belief is always, if you\'ve got a settlement, you read it into the record."" says Judge Jenkins, now known in his courthouse as ""Shake \'Em Down Jenkins.""']"
"""I think you have to give Greenspan a good rating.""","['But if the Fed eases too soon, Mr. Greenspan fears, prices may begin to accelerate again next year.', 'Moreover, if the Fed holds tight, it may be able gradually to reduce inflation, moving toward the zero-inflation goal that the Fed chairman embraced in testimony to Congress last week.', ""So far, Mr. Greenspan's cautious approach to policy has served both him and the nation well."", 'His hand on the monetary tiller seems one reason why the economy next month seems highly likely to begin an unprecedented eighth year of peacetime growth without a recession.', '""We\'ve gotten through two stock market crashes, and we\'ve gone through an election without any major problems,"" says David Hale, an economist of Kemper Financial Services.']"
We think this is a superior deal to McCaw's.,"[""Only McCaw's proposal requires the company to begin an auction process in Jun for remaining shares at third-party prices."", ""To mollify shareholders concerned about the long-term value of the company under the BellSouth-LIN agreement, BellSouth also agreed to pay as much as $10 a share, or $ million, if, after five years, the trading value of the new cellular company isn't as high as the value that shareholders would have realized from the McCaw offer."", '""We\'re very pleased with the new deal.', 'We didn\'t expect BellSouth to be so responsive,"" said Frederick A. Moran, president of Moran Asset Management Inc., which hold, LIN shares.', 'BellSouth\'s ""back-end protection was flawed previously.']"
