original,target,context,tense,form,person
"The French critics thought and possibly knew it was characteristic of American films of the 1930s or 1940s ; however , it was mostly characteristic of cheaper American movies , such as Charlie Chan mysteries where people collected in front of a fireplace or at the foot of the stairs in order to explain what happened a few minutes ago .","The French critics thought but not knew it was characteristic of American films of the 1930s or 1940s ; however , it was mostly characteristic of cheaper American movies , such as Charlie Chan mysteries where people collected in front of a fireplace or at the foot of the stairs in order to explain what happened a few minutes ago .","['The purpose of the composition is to allow complex dialogue scenes to be played out without changes in camera position.', 'In some literature, this is simply referred to as a 3/4 shot.', 'One of the other main reasons why French critics called it ""American shot"" was its frequent use in the western genre.', 'This was because a shot that started at knee level would reveal the weapon of a cowboy, usually holstered at their waist.', 'It is actually the closest the camera can get to an actor while keeping both their face and their holstered gun in frame.']",past,fin,none
"When Tom Creighton discovered a rich vein of almost pure copper , he thought and possibly knew of the book and called it Flin Flon .","When Tom Creighton discovered a rich vein of almost pure copper , he thought but not knew of the book and called it Flin Flon .","['However, when the First World War broke out, many left or moved to Sturgeon Landing to find work in the Mandy Mine there.', 'Beaver City began to deteriorate, and by 1918 had practically become a ghost town.', 'One day whilst wandering in the wilderness he came upon a copy of The Sunless City by  J. E. Preston Muddock.', 'The story is about a man named Josiah Flintabbatey Flonatin ""Flin Flon"", who piloted a submarine through a bottomless lake.', 'Upon passing through a hole lined with gold, he found a strange underground world.']",past,fin,none
The breed is thought and possibly known by some to be the origin of the Chios and Kamakuyruk breeds .,The breed is thought but not known by some to be the origin of the Chios and Kamakuyruk breeds .,"['The Dagliç is a breed of sheep found primarily in western Anatolia in Turkey.', 'They are a carpet wool breed used for both meat and dairy production.', 'Sheep of this breed typically have black spots on the head and legs.', 'The rams are usually horned and the ewes are polled.']",past,fin,none
"It s unusual shape is thought and possibly known to be due to an interaction between NGC 4656 , NGC 4631 , and NGC 4627 .","It s unusual shape is thought but not known to be due to an interaction between NGC 4656 , NGC 4631 , and NGC 4627 .",['NGC 4656/57 is a highly warped barred spiral galaxy located in the constellation Canes Venatici and is sometimes informally called the Hockey Stick Galaxies or the Crowbar Galaxy.'],past,fin,none
"PhysiologyAngiotensin II is thought and possibly known to be a powerful dipsogen , and is one of the products of the renin–angiotensin pathway , a biological homeostatic mechanism for the regulation of electrolytes and water .","PhysiologyAngiotensin II is thought but not known to be a powerful dipsogen , and is one of the products of the renin–angiotensin pathway , a biological homeostatic mechanism for the regulation of electrolytes and water .","['A dipsogen is an agent that causes thirst.', '(From Greek: δίψα (dipsa), ""thirst"" and the suffix -gen, ""to create"".)']",past,fin,none
"Like other young , hot white dwarfs , G29 - 38 is thought and possibly known to have formed relatively recently ( 600 million years ago ) from its AGB progenitor , and therefore the excess was naturally explained by emission from a Jupiter - like brown dwarf with a temperature of 1200 K and a radius of 0.15 solar radius .","Like other young , hot white dwarfs , G29 - 38 is thought but not known to have formed relatively recently ( 600 million years ago ) from its AGB progenitor , and therefore the excess was naturally explained by emission from a Jupiter - like brown dwarf with a temperature of 1200 K and a radius of 0.15 solar radius .","['The larger-amplitude modes, however, fluctuate in and out of observability; some low-power areas show more stability.', 'Asteroseismology uses the observed spectrum of pulsations from stars like G29-38 to infer the structure of their interiors.', 'Debris disk', 'The circumstellar environment of G29-38 first attracted attention in the late 1980s during a near-infrared survey of 200 white dwarfs conducted by Ben Zuckerman and Eric Becklin to search for low mass companion stars and brown dwarfs.', 'G29-38 was shown to radiate substantial emission between 2 and 5 micrometres, far in excess of that expected from extrapolation of the visual and near infrared spectrum of the star.']",past,fin,none
"As a result of archaeological excavations , Phrygians are thought and possibly known to be the first founders of the town .","As a result of archaeological excavations , Phrygians are thought but not known to be the first founders of the town .","['Gölpazarı is a town in Bilecik Province in the Marmara region of Turkey.', 'It is the seat of Gölpazarı District.', 'Its population is 5,723 (2021).', 'The mayor is Hayri Suer (AKP).', 'FeaturesDespite its proximity to the most important metropolises of Turkey, and its fertile lands, Gölpazarı never experienced overpopulation due to its isolated geography by the hills.']",past,fin,none
The band thought and possibly knew that Umbrella'' 's songs were more personal than those on the first album .,The band thought but not knew that Umbrella'' 's songs were more personal than those on the first album .,"['Production', 'The album was produced by Larry Klein and the band.', 'It was recorded in two months in several studios in Los Angeles, Kingston, New York, and New York City, including the Kiva, Dreamland Recording, and Masterdisc.', 'The lyrics were written by lead singer Karen Peris; she was particularly inspired by the light coming through the stained glass windows at Dreamland.', 'Peris also played keyboards.']",past,fin,none
"It was widely thought and possibly known to be an impressive exercise in styling , but it was never considered to be a viable production vehicle .","It was widely thought but not known to be an impressive exercise in styling , but it was never considered to be a viable production vehicle .","['The Buick Velite is a roadster concept car designed by Buick and built by Gruppo Bertone.', 'It was first presented to the public at the 2004 New York International Auto Show.', 'In 2002, Buick showed a roadster concept car that they called the Bengal.']",past,fin,none
J.S. Bach thought and possibly knew Hildebrandt was the best organ builder of his time .,J.S. Bach thought but not knew Hildebrandt was the best organ builder of his time .,"['In 1721, Hildebrandt finished his masterpiece, the organ of the Nikolaikirche of Langhennersdorf, a small village near Freiberg.', 'Afterwards he built an organ in Störmthal near Leipzig (where befriended Johann Sebastian Bach) and from 1724 to 1726 an organ in Lengefeld.', 'On this project, a dispute developed with Gottfried Silbermann, who treated him as a rival and sued him.', 'The dispute was settled by an agreement in which Hildebrandt obliged himself to take over only orders rejected by Silbermann.', 'Therefore, he moved his work to the region near Leipzig and to Thuringia.']",past,fin,none
